Body 0: x = 1698.873, y = 1105.670, z = 1495.531, Fx = -0.004, Fy = -0.001, Fz = -0.002
Body 1: x = -1127.472, y = 949.175, z = -1096.060, Fx = 0.002, Fy = -0.002, Fz = 0.003
Body 2: x = -781.314, y = 733.984, z = 1564.148, Fx = -0.000, Fy = -0.001, Fz = -0.005
Body 3: x = -901.368, y = -142.016, z = -2204.025, Fx = 0.000, Fy = 0.000, Fz = 0.004
Body 4: x = -1184.206, y = 200.406, z = -1381.987, Fx = 0.001, Fy = -0.000, Fz = 0.003
Body 5: x = 574.249, y = 1565.796, z = 552.509, Fx = -0.001, Fy = -0.003, Fz = -0.001
Body 6: x = -1015.376, y = 1229.822, z = 255.715, Fx = 0.001, Fy = -0.003, Fz = 0.000
Body 7: x = -661.298, y = 1661.200, z = -4.515, Fx = 0.000, Fy = -0.004, Fz = 0.000
Body 8: x = -1376.809, y = 1562.572, z = 210.144, Fx = 0.002, Fy = -0.001, Fz = 0.000
Body 9: x = 1384.443, y = 2038.674, z = -901.164, Fx = -0.001, Fy = -0.003, Fz = 0.000
Body 10: x = 649.181, y = 1440.416, z = 400.127, Fx = -0.001, Fy = -0.003, Fz = -0.000
Body 11: x = 380.546, y = 1359.832, z = 351.097, Fx = -0.001, Fy = -0.003, Fz = 0.000
Body 12: x = -796.854, y = 1603.838, z = 1488.598, Fx = 0.000, Fy = -0.004, Fz = -0.004
Body 13: x = 1031.754, y = -1017.859, z = 1334.451, Fx = -0.001, Fy = 0.001, Fz = -0.002
Body 14: x = 2269.002, y = 341.340, z = -1611.264, Fx = -0.003, Fy = -0.000, Fz = 0.001
Body 15: x = 419.851, y = -270.869, z = 142.980, Fx = -0.002, Fy = 0.001, Fz = 0.000
Body 16: x = 45.520, y = -183.206, z = -195.664, Fx = -0.001, Fy = 0.002, Fz = 0.002
Body 17: x = -46.413, y = -576.666, z = 666.513, Fx = 0.001, Fy = 0.001, Fz = -0.002
Body 18: x = 1567.285, y = -1472.758, z = 1167.583, Fx = -0.002, Fy = 0.004, Fz = -0.001
Body 19: x = -1553.821, y = -1290.365, z = -316.780, Fx = 0.002, Fy = 0.002, Fz = 0.001
Body 20: x = -2127.131, y = -1961.330, z = -57.081, Fx = 0.003, Fy = 0.003, Fz = 0.000
Body 21: x = 705.625, y = -884.770, z = 1418.533, Fx = -0.001, Fy = 0.002, Fz = -0.003
Body 22: x = 530.155, y = -1629.708, z = -1740.803, Fx = -0.000, Fy = 0.002, Fz = 0.002
Body 23: x = -1442.059, y = 600.353, z = -1465.839, Fx = 0.002, Fy = 0.000, Fz = 0.001
Body 24: x = -1207.329, y = -496.382, z = 1097.687, Fx = 0.002, Fy = -0.002, Fz = -0.001
Body 25: x = -1896.174, y = -1080.392, z = -1932.021, Fx = 0.003, Fy = 0.001, Fz = 0.003
Body 26: x = -1691.738, y = -1390.342, z = -423.851, Fx = 0.003, Fy = 0.002, Fz = 0.000
Body 27: x = -421.599, y = 1088.287, z = 1082.250, Fx = -0.000, Fy = -0.002, Fz = -0.002
Body 28: x = 1060.396, y = 1272.276, z = -1333.865, Fx = -0.002, Fy = -0.001, Fz = 0.002
